Date Added,Category 1,Category 2,Sub-Category 1,Sub-Category 2,Role,Real Name,Sentiment,Hashtags,Comments,Tweet example text,Tweet example link
,Political Actors,,Government,,,,,#opposition,,,
,Political actors,,Government,,,,,#bureg,,,
,Political Actors,,Government,,,,,#bundesregierung,,,
,Political actors,,Government,,,,,#kanzleramt,,,
,Political Actors,,Government,,,,,#innenminister,,,
,Political actors,,Government,,,,,#innenministerin,,,
,Political Actors,,Government,,,,,#aussenminister,,,
,Political actors,,Government,,,,,#aussenministerin,,,
,Political Actors,,Government,,,,,#außenminister,,,
,Political actors,,Government,,,,,#außenministerin,,,
,Political Actors,,Government,,,,,#umweltminister,,,
,Political actors,,Government,,,,,#umweltministerin,,,
,Political Actors,,Government,,,,,#digitalminister,,,
,Political actors,,Government,,,,,#digitalministerin,,,
,Political Actors,,Government,,,,,#finanzminister,,,
,Political actors,,Government,,,,,#finanzministerin,,,
,Political Actors,,Government,,,,,#gesundheitsminister,,,
,Political actors,,Government,,,,,#gesundheitsministerin,,,
,Political Actors,,Government,,,,,#verkehrsminister,,,
,Political actors,,Government,,,,,#verkehrsministerin,,,
,Political Actors,,Government,,,,,#entwicklungsminister,,,
,Political actors,,Government,,,,,#entwicklungsministerin,,,
,Political Actors,,Government,,,,,#bildungsminister,,,
,Political actors,,Government,,,,,#bildungsministerin,,,
,Political Actors,,Government,,,,,#landwirtschaftsminister,,,
,Political actors,,Government,,,,,#landwirtschaftsministerin,,,
,Political Actors,,Government,,,,,#wirtschaftsminister,,,
,Political actors,,Government,,,,,#wirtschaftsministerin,,,
,Political Actors,,Government,,,,,#arbeitsminister,,,
,Political actors,,Government,,,,,#arbeitsministerin,,,
,Political Actors,,Government,,,,,#familienminister,,,
,Political actors,,Government,,,,,#familienministerin,,,
,Political Actors,,Chancelor,,,,,#Kanzler,,,
,Political Actors,,Chancelor,,,,,#Kanzlerin,,,
,Political Actors,,Chancelor,,,,,#bundeskanzler,,,
,Political Actors,,Chancelor,,,,,#bundeskanzlerin,,,
,Political Actors,,Chancelor,,,,,#kanzlerkandidatur,,,
,Political Actors,,Chancelor,,,,,#bundeskanzlerkandidatur,,,
,Political Actors,,Chancelor,,,,,#bundeskanzlerkandidat,,,
,Political Actors,,Chancelor,,,,,#bundeskanzlerkandidatin,,,
,Political Actors,,Chancelor,,,,,#kanzlerkandidat,,,
,Political Actors,,Chancelor,,,,,#kanzlerkandidatin,,,
,Election,,Election general,,,,,#btw2021,,,
,Election,,Election general,,,,,#btw21,,,
,Election,,Election general,,,,,#wahl21,,,
,Election,,Election general,,,,,#wahlen2021,,,
,Election,,Election general,,,,,#bundestagswahl2021,,,
,Election,,Election general,,,,,#bundestagswahl21,,,
,Election,,Election general,,,,,#wahl,,,
,Election,,Election general,,,,,#bundestagswahl,,,
,Election,,Election general,,,,,#superwahljahr,,,
,Election,,Election general,,,,,#btw21fakten,,,
,Election,,Election outcome,,,,,#koalitionsvertrag ,,,
,Election,,Election outcome,,,,,#koalitionsrechner,,,
,Election,,Election outcome,,,,,#grossekoalition,,,
,Election,,Election outcome,,,,,#großekoalition,,,
,Election,,Election outcome,,,,,#groko,,,
,Election,,Election outcome,,,,,#jamaikakoalition,,,
,Election,,Election outcome,,,,,#ampelkoalition,,,
,Election,,Election outcome,,,,,#rotrotgrün,,,
,Election,,Election outcome,,,,,#rotrotgruen,,,
,Election,,Election outcome,,,,,#gruenrotrot,,,
,Election,,Election outcome,,,,,#grünrotrot,,,
,Election,,Election outcome,,,,,#grünschwarz,,,
,Election,,Election outcome,,,,,#gruenscharz,,,
,Election,,Election outcome,,,,,#schwarzgrün,,,
,Election,,Election outcome,,,,,#schwarzgruen,,,
,Election,,Election outcome,,,,,#g2r,,,
,Election,,Election outcome,,,,,#r2g,,,
,Election,,Election outcome,,,,negative,#r2gunwählbar,,,
,Election,,Election outcome,,,,,#wechselstimmung,,,
,Election,,Election outcome,,,,,#wergewinntdiewahl,,,
,Election,,Election outcome,,,,,#stimmenauszählung,,,
,Election,,Election campaign,,,,,#wahlkampf,,,
,Election,,Election campaign,,,,,#wahlwerbung,,,
,Election,,Election campaign,,,,,#wahlplakat,,,
,Election,,Election campaign,,,,,#wahlflyer,,,
,Election,,Election campaign,,,,,#wahlstand,,,
,Election,,Election campaign,,,,,#briefwahl,,,
,Election,,Election campaign,,,,,#wahlprogramme,,,
,Election,,Election campaign,,,,,#wahlprogramm,,,
,Election,,Election action,,,,,#augenaufbeimkreuzchenmachen ,,,
,Election,,Election action,,,,,#wählen,,,
,Election,,Election action,,,,,#waehlen,,,
,Election,,Election action,,,,,#wählengehen,,,
,Election,,Election action,,,,,#waehlengehen,,,
,Election,,Election action,,,,,#muslimewaehlendeutschland,,,
,Election,,Election action,,,,,#ichwaehleduauch,,,
,Election,,Election process,,,,,#ichwähleduauch,,,
,Election,,Election process,,,,,#wahlfälschung,,,
,Election,,Election process,,,,,#wahlbetrug,,,
,Election,,Election process,,,,,#wahlalter16,,,
,Election,,Election process,,,,,#kandidatenliste,,,
,Election,,Election process,,,,,#kandidatenlisten,,,
,Election,,Election process,,,,,#landesliste,,,
,Election,,Election process,,,,,#landeslisten,,,
,Election,,Election process,,,,,#direkmandat,,,
,Election,,Election process,,,,,#direktmandate,,,
,Election,,Election process,,,,,#erststimme,,,
,Election,,Election process,,,,,#zweitstimme,,,
,Election,,Election process,,,,,#zweitstimmenanteil,,,
,Election,,Election process,,,,,#bundeswahlleiter,,,
,Election,,Election process,,,,,#wahlparty,,,
,Election,,Election process,,,,,#spitzenkandidat,,,
,Election,,Election process,,,,,#spitzenkandidaten,,,
,Election,,Election process,,,,,#spitzenkandidatin,,,
,Election,,Election process,,,,,#spitzenkandidatinnen,,,
,Election,,Election process,,,,,#wahlhelferinnen,,,
,Election,,Election process,,,,,#wahlhelfer,,#Wahlhelfer gesucht! Wahlurne mit StimmzettelFür die #Bundestagswahl suchen wir in #Kaiserslautern noch Mitarbeitende für den Wahlvorstand. Mehr Infos und Kontakt Pfeil nach rechtshttps://kaiserslautern.de/buerger_rathaus_politik/medienportal/pressemitteilungen/061536/index.html.de… Telefon0631 365-1125 E-Mail Symbolwahlen@kaiserslautern.de,https://twitter.com/StadtKL/status/1412714209364824073
,Election,,Election process,,,,,#kandidateneffekt,,,
,Election,,Debate,,,,,#tvduell,,,
,Election,,Debate,,,,,#kanzlerduell,,,
,Election,,Debate,,,,,#elefantenrunde,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,,#laschet,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,,#arminlaschet,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,,#laschetpolitik,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#laschetverhindern ,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#arminlasses,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#kohlearmin,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#laschetvernichtetarbeitsplätze,,,
,Political Actors,,CDU,CSU,"leader, candidate",Armin Laschet,negative,#allegegenlaschet,,,
