"Date.Added","Category.1","Category.2","Sub.Category.1","Sub.Category.2","Role","Real.Name","Sentiment","Hashtags","Comments","Tweet.example.text","Tweet.example.link"
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#opposition",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#bureg",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#bundesregierung",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#kanzleramt",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#innenminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#innenministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#aussenminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#aussenministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#außenminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#außenministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#umweltminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#umweltministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#digitalminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#digitalministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#finanzminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#finanzministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#gesundheitsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#gesundheitsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#verkehrsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#verkehrsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#entwicklungsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#entwicklungsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#bildungsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#bildungsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#landwirtschaftsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#landwirtschaftsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#wirtschaftsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#wirtschaftsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#arbeitsminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#arbeitsministerin",NA,NA,NA
NA,"Political Actors",NA,"Government",NA,NA,NA,NA,"#familienminister",NA,NA,NA
NA,"Political actors",NA,"Government",NA,NA,NA,NA,"#familienministerin",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#Kanzler",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#Kanzlerin",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#bundeskanzler",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#bundeskanzlerin",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#kanzlerkandidatur",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#bundeskanzlerkandidatur",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#bundeskanzlerkandidat",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#bundeskanzlerkandidatin",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#kanzlerkandidat",NA,NA,NA
NA,"Political Actors",NA,"Chancelor",NA,NA,NA,NA,"#kanzlerkandidatin",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#btw2021",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#btw21",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#wahl21",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#wahlen2021",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#bundestagswahl2021",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#bundestagswahl21",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#wahl",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#bundestagswahl",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#superwahljahr",NA,NA,NA
NA,"Election",NA,"Election general",NA,NA,NA,NA,"#btw21fakten",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#koalitionsvertrag ",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#koalitionsrechner",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#grossekoalition",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#großekoalition",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#groko",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#jamaikakoalition",NA,NA,NA
NA,"Election",NA,"Election outcome",NA,NA,NA,NA,"#ampelkoalition",NA,NA,NA
